epoch,background_mse_component,background_prediction_mae,background_prediction_mean,body_mse_component,body_prediction_mean,body_susceptibility_loss,depth_loss,depth_profile_loss,global_gradient_norm,loss,prediction_fraction_above_1e_4,prediction_fraction_near_saturation,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,susceptibility_amplitude_loss,susceptibility_loss,tmi_correlation,tmi_loss,tmi_mae_nt,tmi_rmse,true_body_prediction_mae,tversky_loss,val_background_mse_component,val_background_prediction_mae,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_body_susceptibility_loss,val_depth_loss,val_depth_profile_loss,val_global_gradient_norm,val_loss,val_prediction_fraction_above_1e_4,val_prediction_fraction_near_saturation,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_susceptibility_amplitude_loss,val_susceptibility_loss,val_tmi_correlation,val_tmi_loss,val_tmi_mae_nt,val_tmi_rmse,val_true_body_prediction_mae,val_tversky_loss,val_weighted_tmi_loss,val_weighted_tversky_loss,val_z_center_loss,weighted_tmi_loss,weighted_tversky_loss,z_center_loss
0,0.0022801582235842943,0.03351617604494095,0.03351617604494095,0.0023463796824216843,0.03631776198744774,0.0023463796824216843,0.03276748210191727,0.010105307213962078,0.4626976549625397,0.18809598684310913,0.749392032623291,0.1100165843963623,0.10000000149011612,0.03353036195039749,0.0,0.034021224826574326,0.0022862423211336136,0.0013938999036327004,0.0023132700007408857,0.23775149881839752,17.323591232299805,352.30908203125,397.93084716796875,0.04222211241722107,0.992438793182373,0.0016270594205707312,0.022279733791947365,0.022279733791947365,0.0027621109038591385,0.034310080111026764,0.0027621109038591385,0.029832255095243454,0.009992605075240135,0.0,0.1697767823934555,0.6407608985900879,0.08635488152503967,0.10000000149011612,0.022337451577186584,0.0,0.03366785869002342,0.0016785941552370787,0.0015500298468396068,0.0021945852786302567,0.2654332220554352,5.619287490844727,203.96099853515625,234.98451232910156,0.0459710992872715,0.9906975030899048,0.005619287956506014,0.0990697592496872,0.01983964629471302,0.017323598265647888,0.09924393892288208,0.02266218326985836
1,0.0013562284875661135,0.021295074373483658,0.021295074373483658,0.0024345580022782087,0.034263454377651215,0.0024345580022782087,0.024584494531154633,0.00961009319871664,0.5717740654945374,0.1594526171684265,0.6955294609069824,0.07139836996793747,0.10000000149011612,0.021360743790864944,0.0,0.030108854174613953,0.0013123230310156941,0.0013694681692868471,0.0018953930120915174,0.23399612307548523,6.6087117195129395,215.32272338867188,251.54396057128906,0.042615778744220734,0.9909764528274536,0.0009785881265997887,0.014622685499489307,0.014622685499489307,0.002802776638418436,0.031923986971378326,0.002802776638418436,0.016393326222896576,0.008620431646704674,0.0,0.14022275805473328,0.5488215088844299,0.05413340404629707,0.10000000149011612,0.014705696143209934,0.0,0.0277568269520998,0.0007986829150468111,0.0016615089261904359,0.0018906827317550778,0.24003612995147705,4.075762748718262,163.64173889160156,199.8109588623047,0.04461141303181648,0.9900948405265808,0.004075763281434774,0.09900947660207748,0.007772894110530615,0.006608710624277592,0.09909764677286148,0.014974397607147694
2,0.0006634105811826885,0.011455107480287552,0.011455107480287552,0.002507405821233988,0.03811053931713104,0.002507405821233988,0.016783107072114944,0.007946210913360119,0.7218062281608582,0.13759110867977142,0.5161843299865723,0.03571092709898949,0.10000000149011612,0.01159008126705885,0.0,0.02328396588563919,0.0005442998372018337,0.00117091229185462,0.0015854084631428123,0.35328301787376404,2.091588020324707,112.91980743408203,139.1551513671875,0.04274948686361313,0.9863269329071045,0.00035869571729563177,0.005548154003918171,0.005548154003918171,0.0026789114344865084,0.04235408082604408,0.0026789114344865084,0.015044551342725754,0.007486922666430473,0.0,0.13191339373588562,0.36719340085983276,0.026180420070886612,0.10000000149011612,0.00572474068030715,0.0,0.018512597307562828,0.0002812118036672473,0.0011440594680607319,0.001518803066574037,0.5584819316864014,0.8424748778343201,60.277706146240234,88.10369110107422,0.0441327802836895,0.9803774356842041,0.0008424748666584492,0.0980377271771431,0.007557628210633993,0.0020915884524583817,0.09863267838954926,0.008836893364787102
3,0.0002334803866688162,0.003209949703887105,0.003209949703887105,0.0025914241559803486,0.042893942445516586,0.0025914241559803486,0.014764469116926193,0.00851017888635397,0.87418133020401,0.12613733112812042,0.18850558996200562,0.018230408430099487,0.10000000149011612,0.0034108988475054502,0.0,0.015525385737419128,0.00020241914899088442,0.0010338127613067627,0.0014124508015811443,0.6764993667602539,0.4991609454154968,38.43146896362305,65.8018798828125,0.043594736605882645,0.934605598449707,0.00015408139734063298,0.0016007812228053808,0.0016007812228053808,0.0027173119597136974,0.04749647155404091,0.0027173119597136974,0.014947662129998207,0.00842825323343277,0.0,0.11871016770601273,0.024385986849665642,0.01569173112511635,0.10000000149011612,0.001820978126488626,0.0,0.013132122345268726,0.00013943678641226143,0.0010237027890980244,0.0014356966130435467,0.8192667365074158,0.29391157627105713,23.553478240966797,52.455379486083984,0.04354720935225487,0.8592209815979004,0.0002939115511253476,0.08592206984758377,0.006519408896565437,0.0004991607274860144,0.09346047043800354,0.006254284642636776
4,5.7445700804237276e-05,0.0006038047722540796,0.0006038047722540796,0.002714340342208743,0.04201904684305191,0.002714340342208743,0.013964705169200897,0.008801351301372051,0.8248797655105591,0.10473589599132538,0.012999552302062511,0.006827382370829582,0.10000000149011612,0.0008135229581966996,0.0,0.008791559375822544,6.562637281604111e-05,0.0010111554292961955,0.001385892042890191,0.8905915021896362,0.10050482302904129,9.598139762878418,27.569978713989258,0.04538920521736145,0.7424330711364746,2.028060771408491e-05,0.0002136481343768537,0.0002136481343768537,0.0031684499699622393,0.028384940698742867,0.0031684499699622393,0.011810613796114922,0.007406577467918396,0.0,0.09680238366127014,0.0047722370363771915,0.002934468677267432,0.10000000149011612,0.00034880757448263466,0.0,0.005776716396212578,2.7742114980355836e-05,0.0015780169051140547,0.0015943653415888548,0.829608142375946,0.042757797986269,5.473972797393799,17.234655380249023,0.04891180619597435,0.6993827819824219,4.275780156604014e-05,0.06993827223777771,0.004404034465551376,0.00010050483251689002,0.07424330711364746,0.005163345951586962
5,4.7946799895726144e-05,0.0004942375235259533,0.0004942375235259533,0.0029117113444954157,0.03976823762059212,0.0029117113444954157,0.01607140712440014,0.009872020222246647,1.1683430671691895,0.10707633942365646,0.009285318665206432,0.006241984199732542,0.10000000149011612,0.0006931130192242563,0.0,0.008194948546588421,5.9655441873474047e-05,0.0012086202623322606,0.001479829428717494,0.8818184733390808,0.06498698890209198,8.070473670959473,22.771339416503906,0.04787660762667656,0.7212041616439819,4.008621544926427e-05,0.00040878893923945725,0.00040878893923945725,0.003221779828891158,0.03505066782236099,0.003221779828891158,0.018746668472886086,0.009700043126940727,0.0,0.11370985209941864,0.0072315470315515995,0.005390828475356102,0.10000000149011612,0.0005749926203861833,0.0,0.007500586099922657,4.1878203774103895e-05,0.0012828938197344542,0.0016309336060658097,0.9100497364997864,0.052071742713451385,7.32414436340332,21.624404907226562,0.04913703352212906,0.7320874929428101,5.2071758545935154e-05,0.073208749294281,0.009046627208590508,6.498699076473713e-05,0.07212042063474655,0.0061993906274437904
6,2.2422191250370815e-05,0.0002305384841747582,0.0002305384841747582,0.0030434574000537395,0.03513002768158913,0.0030434574000537395,0.013423951342701912,0.00907094869762659,0.7759492993354797,0.09321341663599014,0.005205963272601366,0.0037494099233299494,0.10000000149011612,0.0004072624142281711,0.0,0.006307039875537157,3.467244823696092e-05,0.001193610718473792,0.0015329400775954127,0.9455004930496216,0.031394343823194504,4.704261302947998,14.931185722351074,0.049118522554636,0.6357285380363464,1.997748222493101e-05,0.00020494963973760605,0.00020494963973760605,0.0031573495361953974,0.037061288952827454,0.0031573495361953974,0.01201205886900425,0.008393499068915844,0.0,0.0873890221118927,0.004346008412539959,0.0035429890267550945,0.10000000149011612,0.00038177784881554544,0.0,0.006114487070590258,3.135874794679694e-05,0.001342873671092093,0.0015886637847870588,0.9662715196609497,0.027582591399550438,4.554498672485352,14.34557819366455,0.048665136098861694,0.6037441492080688,2.758259142865427e-05,0.0603744238615036,0.003618556773290038,3.13943310175091e-05,0.06357289850711823,0.004353002179414034
7,2.707625026232563e-05,0.00027601615875028074,0.00027601615875028074,0.002979526063427329,0.03829895332455635,0.002979526063427329,0.011551104485988617,0.008639893494546413,0.687987208366394,0.08780178427696228,0.005221283063292503,0.004401133395731449,0.10000000149011612,0.0004685563617385924,0.0,0.006779797840863466,3.569383261492476e-05,0.001023349934257567,0.001503300853073597,0.9226323962211609,0.05963612347841263,5.788743019104004,19.972936630249023,0.04816995561122894,0.6207759380340576,1.882495780591853e-05,0.00019239798712078482,0.00019239798712078482,0.003075758460909128,0.03818322718143463,0.003075758460909128,0.011234580539166927,0.008015292696654797,0.0,0.0835828110575676,0.0041891480796039104,0.0035129801835864782,0.10000000149011612,0.00037466923822648823,0.0,0.006064038723707199,2.851499266398605e-05,0.0011983413714915514,0.0015472917584702373,0.9638508558273315,0.025735175237059593,4.163541793823242,13.883776664733887,0.04786236211657524,0.5831377506256104,2.5735178496688604e-05,0.0583137646317482,0.003219286445528269,5.963616058579646e-05,0.0620776042342186,0.00291121075861156
8,1.804757812351454e-05,0.0001844638172769919,0.0001844638172769919,0.002980097895488143,0.035588040947914124,0.002980097895488143,0.011131411418318748,0.008486301638185978,0.7931467294692993,0.08465545624494553,0.004089843947440386,0.0034024047199636698,0.10000000149011612,0.00036373999319039285,0.0,0.005973460152745247,2.893443343054969e-05,0.001100088469684124,0.0014990732306614518,0.9391897320747375,0.044923119246959686,4.486100673675537,16.98826789855957,0.04817115515470505,0.5971962213516235,2.119297096214723e-05,0.00021693133749067783,0.00021693133749067783,0.0030310777947306633,0.03782527893781662,0.0030310777947306633,0.012820226140320301,0.009038964286446571,0.0,0.09079724550247192,0.0044620768167078495,0.0036982218734920025,0.10000000149011612,0.00039736751932650805,0.0,0.00624060770496726,3.450236181379296e-05,0.0013157619396224618,0.0015261350199580193,0.9415538311004639,0.027466192841529846,4.363042831420898,13.810524940490723,0.047221168875694275,0.6225292682647705,2.746619429672137e-05,0.06225293129682541,0.0037812592927366495,4.49231629318092e-05,0.059719622135162354,0.0026451197918504477
9,2.7670805138768628e-05,0.00028073907014913857,0.00028073907014913857,0.002995127812027931,0.040923602879047394,0.002995127812027931,0.011031598784029484,0.008367804810404778,0.7185276746749878,0.08507376909255981,0.005297668278217316,0.0046368916518986225,0.10000000149011612,0.000486546108732,0.0,0.006919895764440298,3.5524892155081034e-05,0.0010150293819606304,0.0015113988192752004,0.9357605576515198,0.05516905337572098,5.862948417663574,19.993127822875977,0.04801078513264656,0.6039348840713501,2.5265797376050614e-05,0.0002568952913861722,0.0002568952913861722,0.0032677610870450735,0.04081963747739792,0.0032677610870450735,0.0120610436424613,0.008298078551888466,0.0,0.08800904452800751,0.004920145496726036,0.0043067424558103085,0.10000000149011612,0.00045150608639232814,0.0,0.006665914785116911,3.2891995942918584e-05,0.0014067466836422682,0.0016465133521705866,0.9495302438735962,0.04584922268986702,5.710562705993652,19.744104385375977,0.04965287446975708,0.6075494885444641,4.584923226502724e-05,0.060754965990781784,0.0037629646249115467,5.516900273505598e-05,0.060393430292606354,0.002663789317011833
