epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,body_susceptibility_loss,depth_loss,depth_profile_loss,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,susceptibility_amplitude_loss,susceptibility_loss,tversky_loss,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_body_susceptibility_loss,val_depth_loss,val_depth_profile_loss,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_susceptibility_amplitude_loss,val_susceptibility_loss,val_tversky_loss,val_weighted_tversky_loss,val_z_center_loss,weighted_tversky_loss,z_center_loss
0,0.0034078643657267094,0.0486423596739769,0.0026842847000807524,0.047494690865278244,0.0026842847000807524,0.0457959808409214,0.009323406033217907,0.19934919476509094,0.8412003517150879,0.10000000149011612,0.048636600375175476,0.0,0.03227948769927025,0.0032238266430795193,0.001977158011868596,0.0030460739508271217,0.9951032996177673,0.005833521485328674,0.058335479348897934,0.004325633402913809,0.052684247493743896,0.004325633402913809,0.045727308839559555,0.009634960442781448,0.20398864150047302,0.5831058025360107,0.10000000149011612,0.058308377861976624,0.0,0.04930448159575462,0.005438640248030424,0.00246990448795259,0.0050795781426131725,0.9954589605331421,0.0995459109544754,0.036092355847358704,0.09951033443212509,0.036472566425800323
1,0.0031245241407305002,0.04337963089346886,0.002513545099645853,0.039531540125608444,0.002513545099645853,0.043282970786094666,0.009464247152209282,0.19352707266807556,0.8404305577278137,0.10000000149011612,0.043360158801078796,0.0,0.03525793179869652,0.002951285568997264,0.001614118809811771,0.002819033805280924,0.9957668781280518,0.0018496294505894184,0.03619251027703285,0.0013534785248339176,0.030616318807005882,0.0013534785248339176,0.039367932826280594,0.008409250527620316,0.18262962996959686,0.9118576049804688,0.10000000149011612,0.0361657477915287,0.0,0.02321864850819111,0.0017282525077462196,0.0010073785670101643,0.0016015545697882771,0.9955654740333557,0.09955654293298721,0.03095868043601513,0.09957659989595413,0.03381871059536934
2,0.0017960455734282732,0.029695354402065277,0.0013670393964275718,0.025205841287970543,0.0013670393964275718,0.036736179143190384,0.009553932584822178,0.17716164886951447,0.804399311542511,0.10000000149011612,0.029672620818018913,0.0,0.030216574668884277,0.0017391646979376674,0.0008411905146203935,0.0015815430087968707,0.9952738285064697,0.0021565358620136976,0.03362017497420311,0.0017385539831593633,0.027096016332507133,0.0017385539831593633,0.03509202226996422,0.00859815999865532,0.1744457632303238,0.7835757732391357,0.10000000149011612,0.03358887508511543,0.0,0.03203120827674866,0.0019595446065068245,0.0007911472930572927,0.0019475449807941914,0.9956346154212952,0.09956347197294235,0.0264938622713089,0.09952730685472488,0.027182262390851974
3,0.0015953467227518559,0.0248024333268404,0.0015661921352148056,0.023096963763237,0.0015661921352148056,0.031078824773430824,0.00948970764875412,0.16565680503845215,0.7033668756484985,0.10000000149011612,0.02479381114244461,0.0,0.03131292387843132,0.0015150225954130292,0.0007914886227808893,0.0015807687304913998,0.9961199164390564,0.0012681224616244435,0.01633816584944725,0.0016862754710018635,0.015767447650432587,0.0016862754710018635,0.018382087349891663,0.008674472570419312,0.1398317962884903,0.49661245942115784,0.10000000149011612,0.01633542776107788,0.0,0.03164353594183922,0.0011741145281121135,0.0008380243089050055,0.0014771989081054926,0.9957829117774963,0.09957827627658844,0.009707620367407799,0.09961195290088654,0.0215891245752573
4,0.0010080139618366957,0.013193801045417786,0.0014517667004838586,0.016267146915197372,0.0014517667004838586,0.021673573181033134,0.008836714550852776,0.14564138650894165,0.45020735263824463,0.10000000149011612,0.013209357857704163,0.0,0.0288991741836071,0.0009305804851464927,0.0006980032194405794,0.0012298902729526162,0.9943601489067078,0.00045561545994132757,0.005176609382033348,0.001398683525621891,0.00886352825909853,0.001398683525621891,0.012785708531737328,0.008080024272203445,0.12683093547821045,0.2078431248664856,0.10000000149011612,0.0051942989230155945,0.0,0.020742857828736305,0.00037251078174449503,0.000834657228551805,0.0009271492599509656,0.9912517070770264,0.09912517666816711,0.004705687519162893,0.09943586587905884,0.012836866080760956
5,0.00031939157634042203,0.003580233082175255,0.0015668187988922,0.016026251018047333,0.0015668187988922,0.014053001999855042,0.007823705673217773,0.12741567194461823,0.15014980733394623,0.10000000149011612,0.0036432561464607716,0.0,0.017666440457105637,0.000256073399214074,0.0007035056478343904,0.0009431051439605653,0.974071741104126,0.00025628297589719296,0.002841613721102476,0.0015778307570144534,0.012105374597012997,0.0015778307570144534,0.010049793869256973,0.006610527168959379,0.11880853027105331,0.12516388297080994,0.10000000149011612,0.0028860592283308506,0.0,0.015879036858677864,0.00017450665473006666,0.0007694238447584212,0.0009170568664558232,0.9684797525405884,0.09684795141220093,0.0034392676316201687,0.0974070355296135,0.00622929260134697
6,0.00017339951591566205,0.0018863327568396926,0.0015823328867554665,0.01625668816268444,0.0015823328867554665,0.012825862504541874,0.008232084102928638,0.12185827642679214,0.06506334245204926,0.10000000149011612,0.001959101529791951,0.0,0.01328647043555975,0.00012999578029848635,0.0006525542703457177,0.0008778661140240729,0.9454624056816101,0.00015060286386869848,0.00157733669038862,0.001942894421517849,0.017800813540816307,0.001942894421517849,0.029024727642536163,0.012554782442748547,0.15443255007266998,0.028405355289578438,0.10000000149011612,0.0016551731387153268,0.0,0.012472708709537983,0.00012717876234091818,0.0008813806343823671,0.0010467487154528499,0.9432781934738159,0.09432782232761383,0.01646994613111019,0.09454620629549026,0.00459377933293581
7,0.00010643788118613884,0.0011844655964523554,0.0015943135367706418,0.0160613302141428,0.0015943135367706418,0.011279996484518051,0.007616755086928606,0.11698322743177414,0.049194805324077606,0.10000000149011612,0.0012597994646057487,0.0,0.010585283860564232,8.714754221728072e-05,0.000618835212662816,0.0008503749850206077,0.9286702871322632,0.00010567092976998538,0.0011318447068333626,0.002065101405605674,0.018749352544546127,0.002065101405605674,0.009225304238498211,0.006657585967332125,0.11139106750488281,0.0372091680765152,0.10000000149011612,0.0012163689825683832,0.0,0.010595913045108318,8.398749923799187e-05,0.0008943836437538266,0.0010853861458599567,0.9087666869163513,0.09087668359279633,0.0025677187368273735,0.09286697208881378,0.0036632451228797436
8,0.00019218050874769688,0.0021139502059668303,0.0020063230767846107,0.021919861435890198,0.0020063230767846107,0.013536822982132435,0.008233253844082355,0.12347444891929626,0.07673613727092743,0.10000000149011612,0.0022142422385513783,0.0,0.014036065898835659,0.00016255058289971203,0.0007885340019129217,0.0010992520255967975,0.9435051083564758,0.0001593894266989082,0.001682071015238762,0.002050744602456689,0.019014999270439148,0.002050744602456689,0.01039954274892807,0.0069141387939453125,0.11625814437866211,0.057106222957372665,0.10000000149011612,0.0017652303213253617,0.0,0.012817983515560627,0.00011921165423700586,0.0008562155999243259,0.0011050672037526965,0.9337857961654663,0.09337857365608215,0.0034854046534746885,0.09435044974088669,0.005303575657308102
9,9.617833711672574e-05,0.001044416450895369,0.00165846711024642,0.015866098925471306,0.00165846711024642,0.009808080270886421,0.00699347211048007,0.11292511969804764,0.051164183765649796,0.10000000149011612,0.0011194708058610559,0.0,0.010102672502398491,7.294573879335076e-05,0.0005921477568335831,0.0008773226873017848,0.9176665544509888,8.089923358056694e-05,0.0008586996700614691,0.0018649372505024076,0.016079194843769073,0.0018649372505024076,0.008082433603703976,0.006059450563043356,0.10780222713947296,0.03143513947725296,0.10000000149011612,0.0009317242074757814,0.0,0.009326606057584286,5.9569356380961835e-05,0.0007422279450111091,0.0009729181765578687,0.8986262679100037,0.0898626297712326,0.002022982109338045,0.09176656603813171,0.0028146151453256607
