epoch,background_mse_component,background_prediction_mae,background_prediction_mean,body_mse_component,body_prediction_mean,body_susceptibility_loss,depth_loss,depth_profile_loss,global_gradient_norm,loss,observed_tmi_rms_nt,prediction_fraction_above_1e_4,prediction_fraction_near_saturation,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,susceptibility_amplitude_loss,susceptibility_loss,susceptibility_relative_loss,tmi_absolute_loss,tmi_relative_loss,true_body_prediction_mae,tversky_loss,val_background_mse_component,val_background_prediction_mae,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_body_susceptibility_loss,val_depth_loss,val_depth_profile_loss,val_global_gradient_norm,val_loss,val_observed_tmi_rms_nt,val_prediction_fraction_above_1e_4,val_prediction_fraction_near_saturation,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_susceptibility_amplitude_loss,val_susceptibility_loss,val_susceptibility_relative_loss,val_tmi_absolute_loss,val_tmi_relative_loss,val_true_body_prediction_mae,val_tversky_loss,val_weighted_susceptibility_relative_loss,val_weighted_tmi_absolute_loss,val_weighted_tmi_relative_loss,val_weighted_tversky_loss,val_z_center_loss,weighted_susceptibility_relative_loss,weighted_tmi_absolute_loss,weighted_tmi_relative_loss,weighted_tversky_loss,z_center_loss
0,0.003617661539465189,0.041262995451688766,0.041262995451688766,0.0030130231752991676,0.03770055994391441,0.0030130231752991676,0.056487586349248886,0.010626710020005703,0.10517751425504684,0.2759420573711395,3.7288644313812256,0.5300793051719666,0.3068435788154602,0.10000000149011612,0.04124493524432182,0.0,0.043759655207395554,0.0030081539880484343,0.001501118065789342,0.0033153423573821783,25276.115234375,34.29817581176758,52357600.0,0.04026128351688385,0.9935474395751953,0.0022957699839025736,0.022957587614655495,0.022957587614655495,0.0019206037977710366,0.015204395167529583,0.0019206037977710366,0.049638934433460236,0.013302063569426537,0.0,0.2196820080280304,5.031511306762695,0.2292042076587677,0.22920379042625427,0.10000000149011612,0.022920385003089905,0.0,0.042032066732645035,0.0024892408400774,0.0007633893401362002,0.0021081871818751097,14272.5400390625,9.371668815612793,14555017.0,0.02778286300599575,0.9955112338066101,0.0,0.0009371669730171561,0.014555015601217747,0.09955112636089325,0.03633687272667885,0.0,0.0034298188984394073,0.05235759913921356,0.09935471415519714,0.04586092382669449
1,0.0022994796745479107,0.02299472503364086,0.02299472503364086,0.0018581600161269307,0.015319687314331532,0.0018581600161269307,0.05056324601173401,0.01390853151679039,0.008447776548564434,0.22122101485729218,3.7288668155670166,0.22955884039402008,0.22955797612667084,0.10000000149011612,0.022955873981118202,0.0,0.0420549176633358,0.002490585669875145,0.0007296071271412075,0.0020788200199604034,13612.798828125,9.408304214477539,14330676.0,0.025718791410326958,0.9952401518821716,0.0023012554738670588,0.02301229164004326,0.02301229164004326,0.0019206037977710366,0.015204395167529583,0.0019206037977710366,0.04943779855966568,0.013275370933115482,0.0,0.2192925661802292,5.031511306762695,0.22974863648414612,0.22974812984466553,0.10000000149011612,0.02297482080757618,0.0,0.042067088186740875,0.0024919623974710703,0.0007633893401362002,0.0021109296940267086,14272.5400390625,9.429519653320312,14555021.0,0.02778286300599575,0.995526909828186,0.0,0.0009429518249817193,0.01455501839518547,0.09955267608165741,0.03616243600845337,0.0,0.0009408299811184406,0.014330675825476646,0.09952396899461746,0.036654725670814514
2,0.0022960687056183815,0.022960590198636055,0.022960590198636055,0.0018580480245873332,0.015317078679800034,0.0018580480245873332,0.050645824521780014,0.013931126333773136,0.000628799491096288,0.22136089205741882,3.728863477706909,0.22921887040138245,0.22921882569789886,0.10000000149011612,0.022921930998563766,0.0,0.04203309491276741,0.0024888734333217144,0.0007295528776012361,0.0020770570263266563,13608.9013671875,9.37964153289795,14312414.0,0.02571715973317623,0.9952327609062195,0.0022954114247113466,0.022953998297452927,0.022953998297452927,0.0019206037977710366,0.015204395167529583,0.0019206037977710366,0.04966457188129425,0.013304364867508411,0.0,0.21973249316215515,5.031511306762695,0.22916819155216217,0.22916819155216217,0.10000000149011612,0.02291681058704853,0.0,0.04202977195382118,0.002489062026143074,0.0007633893401362002,0.002108007902279496,14272.5400390625,9.368232727050781,14555017.0,0.02778286300599575,0.9955105781555176,0.0,0.0009368231403641403,0.014555015601217747,0.09955105185508728,0.03636021167039871,0.0,0.0009379645925946534,0.014312412589788437,0.09952327609062195,0.03671471029520035
3,0.002295548329129815,0.022955410182476044,0.022955410182476044,0.0018580482574179769,0.015317066572606564,0.0018580482574179769,0.05066005140542984,0.013934108428657055,2.1515361714463666e-10,0.22138811647891998,3.7288668155670166,0.22916723787784576,0.22916723787784576,0.10000000149011612,0.022916771471500397,0.0,0.04202977195382118,0.0024886156897991896,0.0007295535760931671,0.002076798351481557,13608.890625,9.374456405639648,14312400.0,0.02571714296936989,0.9952325224876404,0.0022954114247113466,0.022953998297452927,0.022953998297452927,0.0019206037977710366,0.015204395167529583,0.0019206037977710366,0.04966457188129425,0.013304364867508411,0.0,0.21973249316215515,5.031511306762695,0.22916819155216217,0.22916819155216217,0.10000000149011612,0.02291681058704853,0.0,0.04202977195382118,0.002489062026143074,0.0007633893401362002,0.002108007902279496,14272.5400390625,9.368232727050781,14555017.0,0.02778286300599575,0.9955105781555176,0.0,0.0009368231403641403,0.014555015601217747,0.09955105185508728,0.03636021167039871,0.0,0.0009374453220516443,0.014312411658465862,0.09952317178249359,0.036725934594869614
4,0.0022955492604523897,0.022955410182476044,0.022955410182476044,0.0018580489559099078,0.015317065641283989,0.0018580489559099078,0.050660036504268646,0.013934111222624779,2.1101823066693726e-10,0.22138814628124237,3.728865385055542,0.22916723787784576,0.22916723787784576,0.10000000149011612,0.0229167677462101,0.0,0.04202977195382118,0.002488614758476615,0.0007295535178855062,0.002076798351481557,13608.89453125,9.374460220336914,14312405.0,0.025717144832015038,0.9952320456504822,0.0022954114247113466,0.022953998297452927,0.022953998297452927,0.0019206037977710366,0.015204395167529583,0.0019206037977710366,0.04966457188129425,0.013304364867508411,0.0,0.21973249316215515,5.031511306762695,0.22916819155216217,0.22916819155216217,0.10000000149011612,0.02291681058704853,0.0,0.04202977195382118,0.002489062026143074,0.0007633893401362002,0.002108007902279496,14272.5400390625,9.368232727050781,14555017.0,0.02778286300599575,0.9955105781555176,0.0,0.0009368231403641403,0.014555015601217747,0.09955105185508728,0.03636021167039871,0.0,0.0009374452638439834,0.014312409795820713,0.09952317923307419,0.036725934594869614
5,0.002295547863468528,0.022955410182476044,0.022955410182476044,0.0018580469768494368,0.01531706377863884,0.0018580469768494368,0.05066004768013954,0.013934102840721607,2.0858488547492726e-10,0.22138814628124237,3.72886323928833,0.22916723787784576,0.22916723787784576,0.10000000149011612,0.0229167677462101,0.0,0.04202977195382118,0.0024886149913072586,0.0007295535760931671,0.0020767992828041315,13608.8935546875,9.374459266662598,14312409.0,0.02571716159582138,0.9952318072319031,0.0022954114247113466,0.022953998297452927,0.022953998297452927,0.0019206037977710366,0.015204395167529583,0.0019206037977710366,0.04966457188129425,0.013304364867508411,0.0,0.21973249316215515,5.031511306762695,0.22916819155216217,0.22916819155216217,0.10000000149011612,0.02291681058704853,0.0,0.04202977195382118,0.002489062026143074,0.0007633893401362002,0.002108007902279496,14272.5400390625,9.368232727050781,14555017.0,0.02778286300599575,0.9955105781555176,0.0,0.0009368231403641403,0.014555015601217747,0.09955105185508728,0.03636021167039871,0.0,0.0009374464279972017,0.014312407933175564,0.09952320158481598,0.036725930869579315
6,0.0022955485619604588,0.022955378517508507,0.022955378517508507,0.0018580476753413677,0.015317074954509735,0.0018580476753413677,0.05066001042723656,0.013934111222624779,2.0659034205561255e-10,0.22138802707195282,3.7288663387298584,0.22916723787784576,0.22916723787784576,0.10000000149011612,0.022916771471500397,0.0,0.04202977195382118,0.002488613361492753,0.0007295534014701843,0.0020767974201589823,13608.8984375,9.374456405639648,14312409.0,0.02571716345846653,0.9952316284179688,0.0022954114247113466,0.022953998297452927,0.022953998297452927,0.0019206037977710366,0.015204395167529583,0.0019206037977710366,0.04966457188129425,0.013304364867508411,0.0,0.21973249316215515,5.031511306762695,0.22916819155216217,0.22916819155216217,0.10000000149011612,0.02291681058704853,0.0,0.04202977195382118,0.002489062026143074,0.0007633893401362002,0.002108007902279496,14272.5400390625,9.368232727050781,14555017.0,0.02778286300599575,0.9955105781555176,0.0,0.0009368231403641403,0.014555015601217747,0.09955105185508728,0.03636021167039871,0.0,0.0009374454966746271,0.014312407933175564,0.09952320903539658,0.03672591224312782
7,0.002295549027621746,0.02295542135834694,0.02295542135834694,0.0018580472096800804,0.015317074954509735,0.0018580472096800804,0.05066004395484924,0.01393410749733448,2.0180586368656606e-10,0.22138828039169312,3.7288641929626465,0.22916723787784576,0.22916723787784576,0.10000000149011612,0.022916771471500397,0.0,0.04202977195382118,0.002488616621121764,0.0007295530522242188,0.0020767974201589823,13608.896484375,9.374448776245117,14312408.0,0.025717156007885933,0.9952322840690613,0.0022954114247113466,0.022953998297452927,0.022953998297452927,0.0019206037977710366,0.015204395167529583,0.0019206037977710366,0.04966457188129425,0.013304364867508411,0.0,0.21973249316215515,5.031511306762695,0.22916819155216217,0.22916819155216217,0.10000000149011612,0.02291681058704853,0.0,0.04202977195382118,0.002489062026143074,0.0007633893401362002,0.002108007902279496,14272.5400390625,9.368232727050781,14555017.0,0.02778286300599575,0.9955105781555176,0.0,0.0009368231403641403,0.014555015601217747,0.09955105185508728,0.03636021167039871,0.0,0.0009374456712976098,0.014312411658465862,0.09952320903539658,0.036725930869579315
8,0.002295548329129815,0.02295539714396,0.02295539714396,0.001858047558926046,0.015317072160542011,0.001858047558926046,0.05066005140542984,0.013934113085269928,1.878131677957029e-10,0.2213880568742752,3.728865146636963,0.22916723787784576,0.22916723787784576,0.10000000149011612,0.022916771471500397,0.0,0.04202977195382118,0.002488614758476615,0.0007295531104318798,0.0020767971873283386,13608.8974609375,9.374451637268066,14312408.0,0.025717148557305336,0.9952322244644165,0.0022954114247113466,0.022953998297452927,0.022953998297452927,0.0019206037977710366,0.015204395167529583,0.0019206037977710366,0.04966457188129425,0.013304364867508411,0.0,0.21973249316215515,5.031511306762695,0.22916819155216217,0.22916819155216217,0.10000000149011612,0.02291681058704853,0.0,0.04202977195382118,0.002489062026143074,0.0007633893401362002,0.002108007902279496,14272.5400390625,9.368232727050781,14555017.0,0.02778286300599575,0.9955105781555176,0.0,0.0009368231403641403,0.014555015601217747,0.09955105185508728,0.03636021167039871,0.0,0.0009374454966746271,0.014312409795820713,0.09952317923307419,0.03672592714428902
9,0.002295549726113677,0.022955408319830894,0.022955408319830894,0.001858047442510724,0.015317072160542011,0.001858047442510724,0.050660036504268646,0.013934114016592503,1.785736419845918e-10,0.22138819098472595,3.728865385055542,0.22916723787784576,0.22916723787784576,0.10000000149011612,0.0229167677462101,0.0,0.04202977567911148,0.0024886163882911205,0.0007295534596778452,0.0020767967216670513,13608.892578125,9.374455451965332,14312409.0,0.02571714296936989,0.9952325820922852,0.0022954114247113466,0.022953998297452927,0.022953998297452927,0.0019206037977710366,0.015204395167529583,0.0019206037977710366,0.04966457188129425,0.013304364867508411,0.0,0.21973249316215515,5.031511306762695,0.22916819155216217,0.22916819155216217,0.10000000149011612,0.02291681058704853,0.0,0.04202977195382118,0.002489062026143074,0.0007633893401362002,0.002108007902279496,14272.5400390625,9.368232727050781,14555017.0,0.02778286300599575,0.9955105781555176,0.0,0.0009368231403641403,0.014555015601217747,0.09955105185508728,0.03636021167039871,0.0,0.0009374459041282535,0.014312404207885265,0.09952323138713837,0.03672592714428902
