epoch,background_mse_component,background_prediction_mae,background_prediction_mean,body_mse_component,body_prediction_mean,body_susceptibility_loss,depth_loss,depth_profile_loss,global_gradient_norm,loss,prediction_fraction_above_1e_4,prediction_fraction_near_saturation,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,susceptibility_amplitude_loss,susceptibility_loss,true_body_prediction_mae,tversky_loss,val_background_mse_component,val_background_prediction_mae,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_body_susceptibility_loss,val_depth_loss,val_depth_profile_loss,val_global_gradient_norm,val_loss,val_prediction_fraction_above_1e_4,val_prediction_fraction_near_saturation,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_susceptibility_amplitude_loss,val_susceptibility_loss,val_true_body_prediction_mae,val_tversky_loss,val_weighted_tversky_loss,val_z_center_loss,weighted_tversky_loss,z_center_loss
0,0.0028430146630853415,0.05080026015639305,0.05080026015639305,0.0022677979432046413,0.05195319652557373,0.0022677979432046413,0.04239780455827713,0.00880480743944645,0.30431607365608215,0.19133776426315308,0.9869822859764099,0.027879424393177032,0.10000000149011612,0.050806064158678055,0.0,0.01620958186686039,0.002703640144318342,0.0020050997845828533,0.0025554057210683823,0.04531804844737053,0.9927797317504883,0.0027861357666552067,0.04952498525381088,0.04952498525381088,0.002105901250615716,0.051418088376522064,0.002105901250615716,0.03796157240867615,0.008151916787028313,0.0,0.1821732521057129,0.964967668056488,0.03891865909099579,0.10000000149011612,0.049534060060977936,0.0,0.018264278769493103,0.0026471547316759825,0.0018528184155002236,0.0024460183922201395,0.04391860589385033,0.9930412769317627,0.09930410981178284,0.029809659346938133,0.0992780476808548,0.03359301760792732
1,0.0029973716009408236,0.049168579280376434,0.049168579280376434,0.002704148180782795,0.0531136617064476,0.002704148180782795,0.035224057734012604,0.008832977153360844,1.5027869939804077,0.17758622765541077,0.9243292808532715,0.0831390768289566,0.10000000149011612,0.04918854683637619,0.0,0.024085620418190956,0.0027613958809524775,0.002276688115671277,0.002850760705769062,0.04627346992492676,0.9924930930137634,0.003453976707533002,0.04862954095005989,0.04862954095005989,0.0029273168183863163,0.05107441544532776,0.0029273168183863163,0.031571418046951294,0.00861372984945774,0.0,0.17080067098140717,0.828871488571167,0.17313364148139954,0.10000000149011612,0.048641275614500046,0.0,0.033005375415086746,0.003007626160979271,0.002191541250795126,0.0031906473450362682,0.04716130718588829,0.9926801323890686,0.09926800429821014,0.022957688197493553,0.09924928098917007,0.026391102001070976
2,0.0031822326127439737,0.0484158992767334,0.0484158992767334,0.0031080900225788355,0.05423258617520332,0.0031080900225788355,0.029537368565797806,0.00883520394563675,2.6992006301879883,0.16684682667255402,0.8594663143157959,0.13524013757705688,0.10000000149011612,0.04844537004828453,0.0,0.028956172987818718,0.002885352121666074,0.0025250690523535013,0.0031451634131371975,0.04723384976387024,0.9921663999557495,0.0033503558952361345,0.04675578698515892,0.04675578698515892,0.0033175963908433914,0.056724950671195984,0.0033175963908433914,0.020934734493494034,0.008216985501348972,0.0,0.15004180371761322,0.8186331391334534,0.16960042715072632,0.10000000149011612,0.04680362716317177,0.0,0.03414172679185867,0.003208245849236846,0.0024208747781813145,0.0033339764922857285,0.0488101989030838,0.9920929074287415,0.09920928627252579,0.012717748060822487,0.09921658039093018,0.020702149718999863
3,0.003363357624039054,0.044050589203834534,0.044050589203834534,0.0037450098898261786,0.05566524714231491,0.0037450098898261786,0.020540891215205193,0.00893554836511612,4.813621520996094,0.1499207764863968,0.8051795363426208,0.18132223188877106,0.10000000149011612,0.04410938918590546,0.0,0.03774238005280495,0.0033848537132143974,0.0026844870299100876,0.0035541870165616274,0.05072356387972832,0.9921543598175049,0.0033576160203665495,0.04258314520120621,0.04258314520120621,0.0034052645787596703,0.05342080816626549,0.0034052645787596703,0.019474294036626816,0.008525270968675613,0.0,0.14721474051475525,0.7792339324951172,0.1986192762851715,0.10000000149011612,0.04263513907790184,0.0,0.03931403532624245,0.0033540630247443914,0.0022698596585541964,0.003381439484655857,0.04827091842889786,0.9926079511642456,0.09926078468561172,0.010949019342660904,0.09921545535326004,0.011605367064476013
4,0.0032967282459139824,0.04181141033768654,0.04181141033768654,0.0036410719621926546,0.05239712446928024,0.0036410719621926546,0.018820062279701233,0.009067841805517673,7.689103126525879,0.1461353302001953,0.7843471765518188,0.19640783965587616,0.10000000149011612,0.04186500981450081,0.0,0.03936941549181938,0.003305827034637332,0.0025007768999785185,0.0034688999876379967,0.048600874841213226,0.9921969175338745,0.0032853411976248026,0.041339337825775146,0.041339337825775146,0.0033245317172259092,0.050772055983543396,0.0033245317172259092,0.018683381378650665,0.008547005243599415,0.0,0.14537005126476288,0.7811847925186157,0.19927816092967987,0.10000000149011612,0.04138458892703056,0.0,0.03971482813358307,0.003245814936235547,0.0021893377415835857,0.0033049362245947123,0.04702427610754967,0.992632269859314,0.09926322847604752,0.010136377066373825,0.09921970218420029,0.009752223268151283
5,0.003230343572795391,0.04068727791309357,0.04068727791309357,0.003569361986592412,0.05021752044558525,0.003569361986592412,0.01766120456159115,0.00909880269318819,8.027803421020508,0.14357732236385345,0.7776522040367126,0.2019633948802948,0.10000000149011612,0.04073552042245865,0.0,0.03970116004347801,0.0032175197266042233,0.002413873327895999,0.0033998519647866488,0.04746017977595329,0.9922360181808472,0.0033870767802000046,0.04147206246852875,0.04147206246852875,0.0033486755564808846,0.04942125827074051,0.0033486755564808846,0.017801770940423012,0.00873247068375349,0.0,0.14350374042987823,0.7460653781890869,0.2281835973262787,0.10000000149011612,0.0415102019906044,0.0,0.040842823684215546,0.0032012953888624907,0.002064723754301667,0.0033678764011710882,0.04640080779790878,0.9926631450653076,0.09926632046699524,0.009069297462701797,0.09922366589307785,0.008562402799725533
6,0.003122949507087469,0.040042974054813385,0.040042974054813385,0.003469673451036215,0.04917176812887192,0.003469673451036215,0.017205435782670975,0.009063996374607086,6.6228179931640625,0.14239071309566498,0.7867237329483032,0.1905168890953064,0.10000000149011612,0.040089238435029984,0.0,0.03899724781513214,0.0030986377969384193,0.0023665549233555794,0.0032963091507554054,0.046586595475673676,0.9921833872795105,0.003143426962196827,0.040173448622226715,0.040173448622226715,0.0032134964130818844,0.048308949917554855,0.0032134964130818844,0.015589681454002857,0.008470998145639896,0.0,0.13877512514591217,0.7779037356376648,0.19551126658916473,0.10000000149011612,0.0402124859392643,0.0,0.03912224993109703,0.0030602312181144953,0.0021003505680710077,0.0031784616876393557,0.045382048934698105,0.9925674200057983,0.0992567241191864,0.007118684239685535,0.09921827167272568,0.008141429163515568
7,0.0030813580378890038,0.03957561403512955,0.03957561403512955,0.0033862239215523005,0.04828347638249397,0.0033862239215523005,0.01634899713099003,0.009006114676594734,6.715285301208496,0.14049263298511505,0.7894610166549683,0.18905159831047058,0.10000000149011612,0.03961966931819916,0.0,0.03894004970788956,0.0030325313564389944,0.002312774071469903,0.0032337908633053303,0.04595377296209335,0.992155909538269,0.0034411137457937002,0.04164735972881317,0.04164735972881317,0.003203289583325386,0.04648514464497566,0.003203289583325386,0.018444465473294258,0.00869779847562313,0.0,0.14461128413677216,0.7365658283233643,0.23883330821990967,0.10000000149011612,0.04167056083679199,0.0,0.041320960968732834,0.003136220620945096,0.001973629230633378,0.0033222013153135777,0.043625250458717346,0.9929030537605286,0.09929031133651733,0.009746664203703403,0.0992155522108078,0.00734288664534688
8,0.003040528390556574,0.03914552927017212,0.03914552927017212,0.0033068167977035046,0.047404251992702484,0.0033068167977035046,0.01601027511060238,0.008974170312285423,5.88229513168335,0.13963724672794342,0.7865051031112671,0.19014880061149597,0.10000000149011612,0.039187368005514145,0.0,0.03884917497634888,0.002965440507978201,0.002256453037261963,0.0031736723612993956,0.04522993788123131,0.9922109246253967,0.0030962557066231966,0.03882293030619621,0.03882293030619621,0.003123408881947398,0.04784552752971649,0.003123408881947398,0.01579611748456955,0.00841912254691124,0.0,0.13894549012184143,0.7641554474830627,0.20858663320541382,0.10000000149011612,0.038866207003593445,0.0,0.039871226996183395,0.002975964918732643,0.0019999025389552116,0.0031098327599465847,0.04496627673506737,0.9926753044128418,0.09926754981279373,0.00737699493765831,0.09922108799219131,0.007036103401333094
9,0.0029585540760308504,0.03858257830142975,0.03858257830142975,0.0031838631257414818,0.04658897593617439,0.0031838631257414818,0.01635177806019783,0.008938687853515148,5.712018966674805,0.14005641639232635,0.7915906310081482,0.1822637915611267,0.10000000149011612,0.038623105734586716,0.0,0.03835336118936539,0.0028704390861094,0.002187721896916628,0.0030712103471159935,0.04419904947280884,0.9922336935997009,0.002999613294377923,0.03845737874507904,0.03845737874507904,0.0029905543196946383,0.0469268299639225,0.0029905543196946383,0.01636394113302231,0.00836827140301466,0.0,0.13981691002845764,0.7695945501327515,0.19587260484695435,0.10000000149011612,0.038498010486364365,0.0,0.03900288790464401,0.002865208312869072,0.0019623434636741877,0.0029950840398669243,0.0438690185546875,0.9926642775535583,0.0992664247751236,0.0079956641420722,0.09922342002391815,0.007413097191601992
