  -2.5000000e+02  -2.5000000e+02  -3.0000000e+01   1.0000000e+00   1.0488122e+02   1.9927187e+02   1.0482977e+02   1.9996575e+02
  -2.0000000e+02  -2.5000000e+02  -3.0000000e+01   1.0000000e+00   1.0483417e+02   1.9922555e+02   1.0443735e+02   1.9982622e+02
  -1.5000000e+02  -2.5000000e+02  -3.0000000e+01   1.0000000e+00   1.0477288e+02   1.9910247e+02   1.0385558e+02   1.9948366e+02
  -1.0000000e+02  -2.5000000e+02  -3.0000000e+01   1.0000000e+00   1.0471421e+02   1.9888778e+02   1.0331437e+02   1.9902356e+02
  -5.0000000e+01  -2.5000000e+02  -3.0000000e+01   1.0000000e+00   1.0466179e+02   1.9865615e+02   1.0295230e+02   1.9866448e+02
   0.0000000e+00  -2.5000000e+02  -3.0000000e+01   1.0000000e+00   1.0463521e+02   1.9855383e+02   1.0283631e+02   1.9852430e+02
   5.0000000e+01  -2.5000000e+02  -3.0000000e+01   1.0000000e+00   1.0466179e+02   1.9865615e+02   1.0295230e+02   1.9866448e+02
   1.0000000e+02  -2.5000000e+02  -3.0000000e+01   1.0000000e+00   1.0471421e+02   1.9888778e+02   1.0331437e+02   1.9902356e+02
   1.5000000e+02  -2.5000000e+02  -3.0000000e+01   1.0000000e+00   1.0477288e+02   1.9910247e+02   1.0385558e+02   1.9948366e+02
   2.0000000e+02  -2.5000000e+02  -3.0000000e+01   1.0000000e+00   1.0483417e+02   1.9922555e+02   1.0443735e+02   1.9982622e+02
   2.5000000e+02  -2.5000000e+02  -3.0000000e+01   1.0000000e+00   1.0488122e+02   1.9927187e+02   1.0482977e+02   1.9996575e+02
  -2.5000000e+02  -2.0000000e+02  -3.0000000e+01   1.0000000e+00   1.0483418e+02   1.9922554e+02   1.0445125e+02   2.0005769e+02
  -2.0000000e+02  -2.0000000e+02  -3.0000000e+01   1.0000000e+00   1.0477954e+02   1.9903586e+02   1.0374872e+02   1.9966275e+02
  -1.5000000e+02  -2.0000000e+02  -3.0000000e+01   1.0000000e+00   1.0485043e+02   1.9859436e+02   1.0311740e+02   1.9920159e+02
  -1.0000000e+02  -2.0000000e+02  -3.0000000e+01   1.0000000e+00   1.0516952e+02   1.9786104e+02   1.0319493e+02   1.9900424e+02
  -5.0000000e+01  -2.0000000e+02  -3.0000000e+01   1.0000000e+00   1.0555287e+02   1.9701956e+02   1.0384210e+02   1.9914899e+02
   0.0000000e+00  -2.0000000e+02  -3.0000000e+01   1.0000000e+00   1.0568792e+02   1.9662148e+02   1.0424507e+02   1.9925454e+02
   5.0000000e+01  -2.0000000e+02  -3.0000000e+01   1.0000000e+00   1.0555287e+02   1.9701956e+02   1.0384210e+02   1.9914899e+02
   1.0000000e+02  -2.0000000e+02  -3.0000000e+01   1.0000000e+00   1.0516952e+02   1.9786104e+02   1.0319493e+02   1.9900424e+02
   1.5000000e+02  -2.0000000e+02  -3.0000000e+01   1.0000000e+00   1.0485043e+02   1.9859436e+02   1.0311740e+02   1.9920159e+02
   2.0000000e+02  -2.0000000e+02  -3.0000000e+01   1.0000000e+00   1.0477954e+02   1.9903586e+02   1.0374872e+02   1.9966275e+02
