epoch,background_mse_component,background_prediction_mae,background_prediction_mean,body_mse_component,body_prediction_mean,body_susceptibility_loss,depth_loss,depth_profile_loss,global_gradient_norm,loss,observed_tmi_rms_nt,prediction_fraction_above_1e_4,prediction_fraction_near_saturation,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,susceptibility_amplitude_loss,susceptibility_loss,susceptibility_relative_loss,tmi_absolute_loss,tmi_relative_loss,true_body_prediction_mae,tversky_loss,val_background_mse_component,val_background_prediction_mae,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_body_susceptibility_loss,val_depth_loss,val_depth_profile_loss,val_global_gradient_norm,val_loss,val_observed_tmi_rms_nt,val_prediction_fraction_above_1e_4,val_prediction_fraction_near_saturation,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_susceptibility_amplitude_loss,val_susceptibility_loss,val_susceptibility_relative_loss,val_tmi_absolute_loss,val_tmi_relative_loss,val_true_body_prediction_mae,val_tversky_loss,val_weighted_susceptibility_relative_loss,val_weighted_tmi_absolute_loss,val_weighted_tmi_relative_loss,val_weighted_tversky_loss,val_z_center_loss,weighted_susceptibility_relative_loss,weighted_tmi_absolute_loss,weighted_tmi_relative_loss,weighted_tversky_loss,z_center_loss
0,0.0014690172392874956,0.02627844177186489,0.02627844177186489,0.001389420940540731,0.026028785854578018,0.001389420940540731,0.04329701140522957,0.01041560061275959,0.515552818775177,0.2145608365535736,3.7288644313812256,0.9165574312210083,0.05065839737653732,0.10000000149011612,0.026277193799614906,0.0,0.027903137728571892,0.0014390564756467938,0.0009145168587565422,0.0014292168198153377,7821.0341796875,14.170855522155762,15650407.0,0.028021208941936493,0.992954671382904,0.0010249620536342263,0.017199553549289703,0.017199553549289703,0.0010876276064664125,0.022838523611426353,0.0010876276064664125,0.04280296713113785,0.009572875685989857,0.0,0.1917862892150879,5.031511306762695,0.8694731593132019,0.0757853165268898,0.10000000149011612,0.017226608470082283,0.0,0.02701401896774769,0.0008610415970906615,0.000656300806440413,0.0010562946554273367,1639.53076171875,9.950667381286621,1675474.375,0.023973660543560982,0.9929665327072144,0.0016395306447520852,0.000995066948235035,0.0016754742246121168,0.09929665923118591,0.03323008865118027,0.007821033708751202,0.001417085761204362,0.015650412067770958,0.09929552674293518,0.032881397753953934
1,0.0007595264469273388,0.01236795261502266,0.01236795261502266,0.000981773599050939,0.016042236238718033,0.000981773599050939,0.0411403514444828,0.009166223928332329,0.5189185738563538,0.18570366501808167,3.7288668155670166,0.8412700295448303,0.06679250299930573,0.10000000149011612,0.012386562302708626,0.0,0.024635229259729385,0.0006246322300285101,0.0005979268462397158,0.0008706493536010385,607.7869873046875,6.981389045715332,761080.375,0.019706543534994125,0.9926276206970215,0.0005695040454156697,0.00870712660253048,0.00870712660253048,0.0008251722902059555,0.01286985632032156,0.0008251722902059555,0.04265117272734642,0.00798694510012865,0.0,0.1871744990348816,5.031511306762695,0.8405712842941284,0.05365193635225296,0.10000000149011612,0.008727097883820534,0.0,0.022220879793167114,0.00047900472418405116,0.0004821954353246838,0.0006973381387069821,224.44419860839844,4.921451568603516,197336.703125,0.01904025860130787,0.9929967522621155,0.00022444417118094862,0.0004921451327390969,0.0001973366888705641,0.09929969161748886,0.034664228558540344,0.0006077871075831354,0.0006981389014981687,0.0007610808243043721,0.0992627888917923,0.03197411820292473
2,0.0016068038530647755,0.01709800772368908,0.01709800772368908,0.0017674269620329142,0.017247602343559265,0.0017674269620329142,0.04738343879580498,0.010373860597610474,0.41331592202186584,0.2189745455980301,3.728863477706909,0.40908777713775635,0.15970955789089203,0.10000000149011612,0.01709877699613571,0.0,0.03625216707587242,0.0014142612926661968,0.0006704434636048973,0.0016871155239641666,11516.3212890625,6.858245372772217,8930281.0,0.02487628534436226,0.9930332899093628,0.002084248699247837,0.020842524245381355,0.020842524245381355,0.002266925061121583,0.020358745008707047,0.002266925061121583,0.049759529531002045,0.010687067173421383,0.0,0.23605108261108398,5.031511306762695,0.20840199291706085,0.20840199291706085,0.10000000149011612,0.020840199664235115,0.0,0.040616560727357864,0.0017935095820575953,0.0008705856744199991,0.002175586996600032,19118.2265625,8.010011672973633,12431860.0,0.03224129602313042,0.9934125542640686,0.019118227064609528,0.0008010012097656727,0.012431859970092773,0.0993412584066391,0.039072465151548386,0.011516319587826729,0.0006858244305476546,0.008930282667279243,0.09930329769849777,0.037009578198194504
3,0.0020860719960182905,0.020860638469457626,0.020860638469457626,0.0021461914293468,0.01840653084218502,0.0021461914293468,0.05314430221915245,0.011352090165019035,0.0,0.23839619755744934,3.7288668155670166,0.2084820568561554,0.2084820568561554,0.10000000149011612,0.02084820345044136,0.0,0.040622249245643616,0.0017931594047695398,0.0008075745427049696,0.002116131829097867,14991.3701171875,8.034756660461426,12224628.0,0.02783435769379139,0.9937131404876709,0.002086399821564555,0.02086396887898445,0.02086396887898445,0.002266925061121583,0.020358745008707047,0.002266925061121583,0.04967520758509636,0.010684673674404621,0.0,0.23589006066322327,5.031511306762695,0.20861542224884033,0.20861542224884033,0.10000000149011612,0.020861543715000153,0.0,0.04063187539577484,0.001794524141587317,0.0008705856744199991,0.0021766622085124254,19118.2265625,8.049860000610352,12431862.0,0.03224129602313042,0.9934278726577759,0.019118230789899826,0.0008049860480241477,0.012431860901415348,0.09934279322624207,0.03899053484201431,0.01499137096107006,0.0008034751517698169,0.012224622070789337,0.09937123954296112,0.04179217293858528
4,0.0020860987715423107,0.020860914140939713,0.020860914140939713,0.0021461909636855125,0.018406523391604424,0.0021461909636855125,0.05314340069890022,0.011352065950632095,0.0,0.2383946180343628,3.728865385055542,0.2084847241640091,0.2084847241640091,0.10000000149011612,0.020848464220762253,0.0,0.04062245041131973,0.0017931743059307337,0.0008075758232735097,0.0021161451004445553,14991.3681640625,8.035282135009766,12224624.0,0.02783438377082348,0.9937134385108948,0.002086399821564555,0.02086396887898445,0.02086396887898445,0.002266925061121583,0.020358745008707047,0.002266925061121583,0.04967520758509636,0.010684673674404621,0.0,0.23589006066322327,5.031511306762695,0.20861542224884033,0.20861542224884033,0.10000000149011612,0.020861543715000153,0.0,0.04063187539577484,0.001794524141587317,0.0008705856744199991,0.0021766622085124254,19118.2265625,8.049860000610352,12431862.0,0.03224129602313042,0.9934278726577759,0.019118230789899826,0.0008049860480241477,0.012431860901415348,0.09934279322624207,0.03899053484201431,0.014991371892392635,0.0008035285864025354,0.01222461648285389,0.0993712916970253,0.041791338473558426
5,0.0020860997028648853,0.020860891789197922,0.020860891789197922,0.0021461916621774435,0.018406525254249573,0.0021461916621774435,0.05314338952302933,0.011352074332535267,0.0,0.23839451372623444,3.72886323928833,0.2084846943616867,0.2084846943616867,0.10000000149011612,0.02084847167134285,0.0,0.04062242805957794,0.001793173374608159,0.0008075757650658488,0.0021161448676139116,14991.36328125,8.035289764404297,12224616.0,0.027834363281726837,0.99371337890625,0.002086399821564555,0.02086396887898445,0.02086396887898445,0.002266925061121583,0.020358745008707047,0.002266925061121583,0.04967520758509636,0.010684673674404621,0.0,0.23589006066322327,5.031511306762695,0.20861542224884033,0.20861542224884033,0.10000000149011612,0.020861543715000153,0.0,0.04063187539577484,0.001794524141587317,0.0008705856744199991,0.0021766622085124254,19118.2265625,8.049860000610352,12431862.0,0.03224129602313042,0.9934278726577759,0.019118230789899826,0.0008049860480241477,0.012431860901415348,0.09934279322624207,0.03899053484201431,0.014991366304457188,0.00080352823715657,0.012224623002111912,0.09937137365341187,0.04179135710000992
6,0.0020860994700342417,0.02086087130010128,0.02086087130010128,0.002146191196516156,0.018406527116894722,0.002146191196516156,0.05314343422651291,0.011352060362696648,0.0,0.2383945733308792,3.7288663387298584,0.2084846794605255,0.2084846794605255,0.10000000149011612,0.02084846794605255,0.0,0.040622442960739136,0.0017931738402694464,0.0008075755904428661,0.002116145333275199,14991.3642578125,8.035282135009766,12224621.0,0.027834372594952583,0.9937132596969604,0.002086399821564555,0.02086396887898445,0.02086396887898445,0.002266925061121583,0.020358745008707047,0.002266925061121583,0.04967520758509636,0.010684673674404621,0.0,0.23589006066322327,5.031511306762695,0.20861542224884033,0.20861542224884033,0.10000000149011612,0.020861543715000153,0.0,0.04063187539577484,0.001794524141587317,0.0008705856744199991,0.0021766622085124254,19118.2265625,8.049860000610352,12431862.0,0.03224129602313042,0.9934278726577759,0.019118230789899826,0.0008049860480241477,0.012431860901415348,0.09934279322624207,0.03899053484201431,0.014991370029747486,0.0008035281207412481,0.012224624864757061,0.0993712991476059,0.04179134964942932
7,0.002086099237203598,0.02086089737713337,0.02086089737713337,0.002146191895008087,0.018406519666314125,0.002146191895008087,0.05314343050122261,0.011352062225341797,0.0,0.23839454352855682,3.7288641929626465,0.20848476886749268,0.20848476886749268,0.10000000149011612,0.020848466083407402,0.0,0.040622446686029434,0.0017931729089468718,0.0008075752411969006,0.0021161457989364862,14991.3740234375,8.035286903381348,12224621.0,0.027834370732307434,0.9937134981155396,0.002086399821564555,0.02086396887898445,0.02086396887898445,0.002266925061121583,0.020358745008707047,0.002266925061121583,0.04967520758509636,0.010684673674404621,0.0,0.23589006066322327,5.031511306762695,0.20861542224884033,0.20861542224884033,0.10000000149011612,0.020861543715000153,0.0,0.04063187539577484,0.001794524141587317,0.0008705856744199991,0.0021766622085124254,19118.2265625,8.049860000610352,12431862.0,0.03224129602313042,0.9934278726577759,0.019118230789899826,0.0008049860480241477,0.012431860901415348,0.09934279322624207,0.03899053484201431,0.01499137096107006,0.0008035285864025354,0.012224624864757061,0.09937126934528351,0.04179135710000992
8,0.0020860983058810234,0.020860901102423668,0.020860901102423668,0.002146191196516156,0.018406523391604424,0.002146191196516156,0.053143445402383804,0.011352067813277245,0.0,0.238394632935524,3.728865146636963,0.2084846943616867,0.2084846943616867,0.10000000149011612,0.02084847167134285,0.0,0.040622446686029434,0.001793172094039619,0.0008075755904428661,0.0021161457989364862,14991.3779296875,8.035282135009766,12224625.0,0.027834391221404076,0.9937134385108948,0.002086399821564555,0.02086396887898445,0.02086396887898445,0.002266925061121583,0.020358745008707047,0.002266925061121583,0.04967520758509636,0.010684673674404621,0.0,0.23589006066322327,5.031511306762695,0.20861542224884033,0.20861542224884033,0.10000000149011612,0.020861543715000153,0.0,0.04063187539577484,0.001794524141587317,0.0008705856744199991,0.0021766622085124254,19118.2265625,8.049860000610352,12431862.0,0.03224129602313042,0.9934278726577759,0.019118230789899826,0.0008049860480241477,0.012431860901415348,0.09934279322624207,0.03899053484201431,0.014991371892392635,0.0008035286446101964,0.012224620208144188,0.09937130659818649,0.041791368275880814
9,0.002086098538711667,0.02086089923977852,0.02086089923977852,0.002146190730854869,0.018406517803668976,0.002146190730854869,0.05314340814948082,0.011352058500051498,0.0,0.2383945882320404,3.728865385055542,0.2084846943616867,0.2084846943616867,0.10000000149011612,0.0208484698086977,0.0,0.04062243551015854,0.0017931744223460555,0.0008075757068581879,0.002116146730259061,14991.3740234375,8.03528118133545,12224628.0,0.027834372594952583,0.9937131404876709,0.002086399821564555,0.02086396887898445,0.02086396887898445,0.002266925061121583,0.020358745008707047,0.002266925061121583,0.04967520758509636,0.010684673674404621,0.0,0.23589006066322327,5.031511306762695,0.20861542224884033,0.20861542224884033,0.10000000149011612,0.020861543715000153,0.0,0.04063187539577484,0.001794524141587317,0.0008705856744199991,0.0021766622085124254,19118.2265625,8.049860000610352,12431862.0,0.03224129602313042,0.9934278726577759,0.019118230789899826,0.0008049860480241477,0.012431860901415348,0.09934279322624207,0.03899053484201431,0.014991367235779762,0.0008035287028178573,0.012224613688886166,0.09937132149934769,0.041791338473558426
10,0.0020861004013568163,0.020860889926552773,0.020860889926552773,0.0021461904980242252,0.01840653084218502,0.0021461904980242252,0.05314337834715843,0.011352067813277245,0.0,0.23839464783668518,3.72886323928833,0.20848476886749268,0.20848476886749268,0.10000000149011612,0.020848473533988,0.0,0.04062243178486824,0.0017931729089468718,0.0008075751247815788,0.0021161457989364862,14991.3720703125,8.035284042358398,12224624.0,0.02783437818288803,0.9937135577201843,0.002086399821564555,0.02086396887898445,0.02086396887898445,0.002266925061121583,0.020358745008707047,0.002266925061121583,0.04967520758509636,0.010684673674404621,0.0,0.23589006066322327,5.031511306762695,0.20861542224884033,0.20861542224884033,0.10000000149011612,0.020861543715000153,0.0,0.04063187539577484,0.001794524141587317,0.0008705856744199991,0.0021766622085124254,19118.2265625,8.049860000610352,12431862.0,0.03224129602313042,0.9934278726577759,0.019118230789899826,0.0008049860480241477,0.012431860901415348,0.09934279322624207,0.03899053484201431,0.014991368167102337,0.0008035286446101964,0.012224620208144188,0.09937132894992828,0.04179135337471962
11,0.002086099935695529,0.020860902965068817,0.020860902965068817,0.002146191196516156,0.018406514078378677,0.002146191196516156,0.053143445402383804,0.011352064087986946,0.0,0.2383945882320404,3.728865385055542,0.20848476886749268,0.20848476886749268,0.10000000149011612,0.020848475396633148,0.0,0.04062243551015854,0.001793173374608159,0.0008075758232735097,0.002116145333275199,14991.373046875,8.035283088684082,12224632.0,0.027834374457597733,0.9937140345573425,0.002086399821564555,0.02086396887898445,0.02086396887898445,0.002266925061121583,0.020358745008707047,0.002266925061121583,0.04967520758509636,0.010684673674404621,0.0,0.23589006066322327,5.031511306762695,0.20861542224884033,0.20861542224884033,0.10000000149011612,0.020861543715000153,0.0,0.04063187539577484,0.001794524141587317,0.0008705856744199991,0.0021766622085124254,19118.2265625,8.049860000610352,12431862.0,0.03224129602313042,0.9934278726577759,0.019118230789899826,0.0008049860480241477,0.012431860901415348,0.09934279322624207,0.03899053484201431,0.014991370029747486,0.00080352823715657,0.012224619276821613,0.09937133640050888,0.04179137572646141
