  -2.5000000e+02  -2.5000000e+02  -3.0000000e+01   4.0000000e+00   3.0789074e-02   3.4195100e-02
  -2.5000000e+02  -2.5000000e+02  -3.0000000e+01   5.0000000e+00   1.0375704e+00   9.7183237e-01
  -2.5000000e+02  -2.5000000e+02  -3.0000000e+01   6.0000000e+00   1.0375704e+00   8.6422230e-01
  -2.5000000e+02  -2.5000000e+02  -3.0000000e+01   7.0000000e+00  -2.0751408e+00  -1.8360547e+00
  -2.5000000e+02  -2.5000000e+02  -3.0000000e+01   8.0000000e+00   3.7905217e+00   3.7901232e+00
  -2.5000000e+02  -2.5000000e+02  -3.0000000e+01   9.0000000e+00   1.7982462e+00   1.8314187e+00
  -2.5000000e+02  -2.5000000e+02  -3.0000000e+01   1.0000000e+01   1.7982462e+00   1.8137572e+00
  -2.5000000e+02  -2.0000000e+02  -3.0000000e+01   4.0000000e+00   4.1044974e-02   4.3648048e-02
  -2.5000000e+02  -2.0000000e+02  -3.0000000e+01   5.0000000e+00   2.3475457e+00   2.3301168e+00
  -2.5000000e+02  -2.0000000e+02  -3.0000000e+01   6.0000000e+00   1.4745365e-01   1.8290575e-02
  -2.5000000e+02  -2.0000000e+02  -3.0000000e+01   7.0000000e+00  -2.4949994e+00  -2.3484074e+00
  -2.5000000e+02  -2.0000000e+02  -3.0000000e+01   8.0000000e+00   4.7460741e+00   4.6469442e+00
  -2.5000000e+02  -2.0000000e+02  -3.0000000e+01   9.0000000e+00   2.9017454e+00   3.0395246e+00
  -2.5000000e+02  -2.0000000e+02  -3.0000000e+01   1.0000000e+01   2.2974016e+00   2.0284090e+00
  -2.5000000e+02  -1.5000000e+02  -3.0000000e+01   4.0000000e+00   5.3469797e-02   5.4861774e-02
  -2.5000000e+02  -1.5000000e+02  -3.0000000e+01   5.0000000e+00   4.3712060e+00   4.3925603e+00
  -2.5000000e+02  -1.5000000e+02  -3.0000000e+01   6.0000000e+00  -1.5130617e+00  -1.6255161e+00
  -2.5000000e+02  -1.5000000e+02  -3.0000000e+01   7.0000000e+00  -2.8581443e+00  -2.7670442e+00
  -2.5000000e+02  -1.5000000e+02  -3.0000000e+01   8.0000000e+00   5.3037122e+00   5.1957317e+00
  -2.5000000e+02  -1.5000000e+02  -3.0000000e+01   9.0000000e+00   4.4905388e+00   4.6817903e+00
  -2.5000000e+02  -1.5000000e+02  -3.0000000e+01   1.0000000e+01   2.6146334e+00   2.3514757e+00
  -2.5000000e+02  -1.0000000e+02  -3.0000000e+01   4.0000000e+00   6.6295859e-02   6.6027468e-02
  -2.5000000e+02  -1.0000000e+02  -3.0000000e+01   5.0000000e+00   6.8467768e+00   6.8360159e+00
  -2.5000000e+02  -1.0000000e+02  -3.0000000e+01   6.0000000e+00  -3.7469644e+00  -3.6825013e+00
  -2.5000000e+02  -1.0000000e+02  -3.0000000e+01   7.0000000e+00  -3.0998124e+00  -3.1535146e+00
  -2.5000000e+02  -1.0000000e+02  -3.0000000e+01   8.0000000e+00   4.8041090e+00   4.6494920e+00
  -2.5000000e+02  -1.0000000e+02  -3.0000000e+01   9.0000000e+00   6.3581088e+00   6.5343403e+00
  -2.5000000e+02  -1.0000000e+02  -3.0000000e+01   1.0000000e+01   2.3993532e+00   2.0548777e+00
  -2.5000000e+02  -5.0000000e+01  -3.0000000e+01   4.0000000e+00   7.6215545e-02   7.4255503e-02
  -2.5000000e+02  -5.0000000e+01  -3.0000000e+01   5.0000000e+00   8.9427466e+00   8.8565206e+00
  -2.5000000e+02  -5.0000000e+01  -3.0000000e+01   6.0000000e+00  -5.7189403e+00  -5.3960514e+00
  -2.5000000e+02  -5.0000000e+01  -3.0000000e+01   7.0000000e+00  -3.2238063e+00  -3.4604692e+00
  -2.5000000e+02  -5.0000000e+01  -3.0000000e+01   8.0000000e+00   2.8887276e+00   2.7687999e+00
  -2.5000000e+02  -5.0000000e+01  -3.0000000e+01   9.0000000e+00   7.9096455e+00   8.0291847e+00
  -2.5000000e+02  -5.0000000e+01  -3.0000000e+01   1.0000000e+01   1.4522299e+00   1.1832883e+00
  -2.5000000e+02   0.0000000e+00  -3.0000000e+01   4.0000000e+00   7.9960755e-02   7.7259247e-02
  -2.5000000e+02   0.0000000e+00  -3.0000000e+01   5.0000000e+00   9.7588111e+00   9.6286134e+00
  -2.5000000e+02   0.0000000e+00  -3.0000000e+01   6.0000000e+00  -6.4965641e+00  -6.0419615e+00
  -2.5000000e+02   0.0000000e+00  -3.0000000e+01   7.0000000e+00  -3.2622470e+00  -3.5866518e+00
  -2.5000000e+02   0.0000000e+00  -3.0000000e+01   8.0000000e+00   1.4961990e-17  -9.7709097e-04
  -2.5000000e+02   0.0000000e+00  -3.0000000e+01   9.0000000e+00   8.5098431e+00   8.6018235e+00
  -2.5000000e+02   0.0000000e+00  -3.0000000e+01   1.0000000e+01  -4.0982842e-17  -1.9814145e-03
  -2.5000000e+02   5.0000000e+01  -3.0000000e+01   4.0000000e+00   7.6215545e-02   7.4272600e-02
  -2.5000000e+02   5.0000000e+01  -3.0000000e+01   5.0000000e+00   8.9427466e+00   8.8563728e+00
